gene	tpm_wt	label	strain	tpm_mutant	background	knockout
1.1	0.0074273393096180515		phi910v2	0.014439544156271088	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
1.3	0.007140217037370791		phi910v2	0.010308749708477932	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
1.4	0.0035823868785066475		phi910v2	0.005798943277159061	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
1.5	0.01069803344234591		phi910v2	0.0218823686566869	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
1.6	0.008647038982139543		phi910v2	0.01851861627479178	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
1.7	0.009550071821309507		phi910v2	0.020350070543556024	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
1.8	0.015034614606147363		phi910v2	0.03041312497315765	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
2	0.01100446719483907		phi910v2	0.022430183052100476	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
2.5	0.012774637164722541		phi910v2	0.019105672863804293	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
2.8	0.0151323602419194		phi910v2	0.01845428922964095	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
3	0.020529444435843036		phi910v2	0.026904254059183348	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
3.5	0.025622535849217476		phi910v2	0.03904019956801445	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
3.8	0.0010850084840926684		phi910v2	0.0018590815606899362	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
4A	0.0019200163962098148		phi910v2	0.003910316441968775	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
4.1	0.0025850355897906073		phi910v2	0.004929843759157335	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
4B	0.0019988098982957675		phi910v2	0.00409679967722626	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
4.2	0.003920213082933003		phi910v2	0.008668092033441457	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
4.3	0.008517204795573519		phi910v2	0.025269279326455736	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
4.5	0.0056222812849951575		phi910v2	0.019904719065281146	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
4.7	0.001974504596179401		phi910v2	0.003287889347302235	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
5	0.0023919550714731337		phi910v2	0.0034742452745382	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
5.3	0.004799029371345993		phi910v2	0.01014952214896567	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
5.5-5.7	0.0055430238851232475		phi910v2	0.013866661969148184	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
5.5	0.006349627957261149		phi910v2	0.0157617663104528	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
5.7	0.007626246740450409		phi910v2	0.01910749602625387	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
5.9	0.007788084759816823		phi910v2	0.019978895084732867	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
6	0.006998431512180275		phi910v2	0.01710151945065785	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
6.3	0.011663469691809978		phi910v2	0.02894674049133835	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
