date,state,unemploy_perc,house_price_index,house_price_perc
2015-12-01,Florida,5.1,172.05055445,0.10818860610257452
2016-01-01,Florida,5.0,172.42822391,0.10379026863300189
2016-02-01,Florida,5.0,174.11290282,0.10231918528031225
2016-03-01,Florida,4.9,176.96974581,0.10625513203186943
2016-04-01,Florida,4.8,179.36382813,0.10808288686878975
2016-05-01,Florida,4.8,181.30994731,0.10469445198956673
2016-06-01,Florida,4.8,183.32340493,0.10212319881468424
2016-07-01,Florida,4.8,184.90739506,0.10091138417259438
2016-08-01,Florida,4.8,186.1735441,0.10242875659526374
2016-09-01,Florida,4.8,187.21581801,0.10340183656256019
2016-10-01,Florida,4.8,188.10046828,0.10123312441798071
2016-11-01,Florida,4.7,188.75855975,0.0992358352153675
2016-12-01,Florida,4.7,189.53076272,0.1015992556715648
2017-01-01,Florida,4.6,190.90352789,0.10714779495521154
2017-02-01,Florida,4.5,192.67848081,0.10662953571679479
2017-03-01,Florida,4.4,194.56543992,0.0994276961266094
2017-04-01,Florida,4.3,196.58216742,0.0959967205735619
2017-05-01,Florida,4.2,198.30088027,0.09371208371126616
2017-06-01,Florida,4.1,199.60416061,0.08880893133212653
2017-07-01,Florida,4.1,201.17675471,0.08798652776824212
2017-08-01,Florida,4.0,203.03238669,0.09055444838577387
2017-09-01,Florida,3.9,204.47977474,0.09221419917134277
2017-10-01,Florida,3.9,204.96184824,0.08964028699227211
2017-11-01,Florida,3.9,205.14853973,0.08683039329028364
2017-12-01,Florida,3.9,205.362563,0.08353156001059747
1976-01-01,Georgia,8.4,29.63129204,-0.03546849973716493
1976-02-01,Georgia,8.4,29.652624708,-0.02620535996317952
1976-03-01,Georgia,8.4,29.613906224,-0.023876084992850877
1976-04-01,Georgia,8.2,29.645420434,-0.02486385600457086
1976-05-01,Georgia,8.1,29.843174555,-0.021899389005881287
1976-06-01,Georgia,8.0,30.24409759,-0.009816747466799391
1976-07-01,Georgia,7.9,30.693744884,0.008284276450446049
1976-08-01,Georgia,8.0,30.930347583,0.02426284342374241
1976-09-01,Georgia,8.0,30.981477477,0.037695443350305835
1976-10-01,Georgia,8.1,30.941421723,0.046067465427103826
1976-11-01,Georgia,8.2,30.85722493,0.046284196779360354
1976-12-01,Georgia,8.2,30.799050579,0.04245615371098577
1977-01-01,Georgia,8.1,30.771984522,0.03849621138559023
1977-02-01,Georgia,7.9,30.797930679,0.03862410097852176
1977-03-01,Georgia,7.6,30.89260961,0.043179152940104215
1977-04-01,Georgia,7.3,31.053600587,0.047500765122729494
1977-05-01,Georgia,7.0,31.256061743,0.04734372964900557
1977-06-01,Georgia,6.8,31.478733601,0.04082237888983076
1977-07-01,Georgia,6.6,31.69049591,0.032474076713903566
1977-08-01,Georgia,6.6,31.800784771,0.028141849543210862
1977-09-01,Georgia,6.5,31.845898839,0.027901231070781796
1977-10-01,Georgia,6.3,31.985218319,0.033734603579127276
1977-11-01,Georgia,6.2,32.188729688,0.04315050238705953
1977-12-01,Georgia,6.0,32.397656351,0.05190438477639292
1978-01-01,Georgia,5.8,32.655783389,0.06121798435369685
1978-02-01,Georgia,5.6,32.895850945,0.06811887096786329
1978-03-01,Georgia,5.6,33.034515237,0.0693339168830418
1978-04-01,Georgia,5.6,33.097284671,0.06581150157690718
1978-05-01,Georgia,5.7,33.258491472,0.06406532420702238
1978-06-01,Georgia,5.8,33.696660528,0.07045794646991599
1978-07-01,Georgia,5.8,34.287578006,0.08195145015640115
1978-08-01,Georgia,5.8,34.770069685,0.09337143518256119
1978-09-01,Georgia,5.8,35.030802398,0.10000984978007943
1978-10-01,Georgia,5.8,35.097507603,0.09730398751573377
1978-11-01,Georgia,5.8,35.179935256,0.09292710824544037
1978-12-01,Georgia,5.7,35.458424479,0.09447498593229331
1979-01-01,Georgia,5.7,35.891913233,0.09909821502215377
1979-02-01,Georgia,5.5,36.334649843,0.10453594599967886
1979-03-01,Georgia,5.4,36.733632806,0.11197735285235355
1979-04-01,Georgia,5.2,37.043645376,0.11923518029434677
1979-05-01,Georgia,5.0,37.274828852,0.12076126132724063
1979-06-01,Georgia,4.9,37.526184143,0.11364697732636997
1979-07-01,Georgia,4.9,37.831080709,0.10334654440683799
1979-08-01,Georgia,4.9,38.182474347,0.0981420138905309
1979-09-01,Georgia,4.9,38.572504306,0.10110250595350934
1979-10-01,Georgia,5.0,39.026533219,0.11194600085118767
1979-11-01,Georgia,5.0,39.537226322,0.12385727927844492
1979-12-01,Georgia,5.1,40.024313473,0.12876739621367306
1980-01-01,Georgia,5.3,40.406146847,0.1257730003049684
1980-02-01,Georgia,5.6,40.754981083,0.12165608473179179
1980-03-01,Georgia,6.0,41.101411592,0.11890407924169621
1980-04-01,Georgia,6.4,41.422933694,0.11821969121962472
1980-05-01,Georgia,6.8,41.735207939,0.11966196021207698
1980-06-01,Georgia,7.1,42.044548536,0.12040564465019932
1980-07-01,Georgia,7.1,42.307100563,0.11831593943693908
1980-08-01,Georgia,6.9,42.490400887,0.1128247085521441
1980-09-01,Georgia,6.6,42.677048204,0.1064111333150215
1980-10-01,Georgia,6.3,42.910870276,0.0995306714845201
1980-11-01,Georgia,6.1,43.152752325,0.09144612152492315
1980-12-01,Georgia,6.0,43.366932023,0.08351470043964393
1981-01-01,Georgia,6.0,43.581630735,0.07858912902594084
1981-02-01,Georgia,6.1,43.861727087,0.07622984777426156
1981-03-01,Georgia,6.2,44.188046591,0.07509802898352991
1981-04-01,Georgia,6.2,44.441303052,0.07286710739266655
1981-05-01,Georgia,6.1,44.552652569,0.06750762172116098
1981-06-01,Georgia,6.1,44.608692116,0.06098635065148783
1981-07-01,Georgia,6.1,44.756694378,0.057900300006432204
1981-08-01,Georgia,6.2,45.078359747,0.060906906171172226
1981-09-01,Georgia,6.4,45.53868406,0.06705327515439041
1981-10-01,Georgia,6.7,46.014046014,0.07231677470162157
1981-11-01,Georgia,7.0,46.389533602,0.07500752797000176
1981-12-01,Georgia,7.3,46.626583197,0.07516444032220737
1982-01-01,Georgia,7.4,46.807301643,0.074014460991922
1982-02-01,Georgia,7.5,47.071455658,0.07317834440567017
1982-03-01,Georgia,7.5,47.46195989,0.0740904735912633
1982-04-01,Georgia,7.5,47.85663877,0.07685048554952978
1982-05-01,Georgia,7.5,48.059426825,0.07871078496547335
1982-06-01,Georgia,7.4,47.98396416,0.07566399918704136
1982-07-01,Georgia,7.5,47.711920679,0.06602869899285135
1982-08-01,Georgia,7.7,47.372967101,0.05090263636206749
1982-09-01,Georgia,7.9,47.155550605,0.035505341851110206
1982-10-01,Georgia,8.2,47.22993996,0.026424408443240566
1982-11-01,Georgia,8.5,47.560013437,0.025231549966467925
1982-12-01,Georgia,8.6,47.964474115,0.02869373705440381
1983-01-01,Georgia,8.6,48.333416318,0.03260420108468742
1983-02-01,Georgia,8.5,48.65618753,0.03366651508536189
1983-03-01,Georgia,8.3,48.8555956,0.029363214524430692
1983-04-01,Georgia,8.1,48.933589168,0.02250367818717569
1983-05-01,Georgia,7.9,49.064423169,0.020911534123357667
1983-06-01,Georgia,7.8,49.26423767,0.026681278473178915
1983-07-01,Georgia,7.8,49.490366443,0.0372746629917744
1983-08-01,Georgia,7.6,49.838566901,0.05204655631434907
1983-09-01,Georgia,7.5,50.211328609,0.06480208511606245
1983-10-01,Georgia,7.2,50.432110658,0.0677995928157431
1983-11-01,Georgia,7.0,50.55292061,0.06292906491636141
1983-12-01,Georgia,6.7,50.676838875,0.05654945269485934
1984-01-01,Georgia,6.5,50.89599402,0.05301875797771127
1984-02-01,Georgia,6.3,51.2081866,0.052449630757167576
1984-03-01,Georgia,6.1,51.495670105,0.054038324015437844
1984-04-01,Georgia,6.0,51.711321349,0.05676534724365756
1984-05-01,Georgia,6.0,51.896318797,0.057717903219725475
1984-06-01,Georgia,6.0,52.020804243,0.05595471894774984
1984-07-01,Georgia,6.0,52.202135429,0.054793875675243964
1984-08-01,Georgia,6.0,52.636004742,0.05612998155739235
1984-09-01,Georgia,6.1,53.127083102,0.05806965427474009
1984-10-01,Georgia,6.1,53.375901287,0.05837135488861467
1984-11-01,Georgia,6.1,53.462721666,0.05755950439437929
1984-12-01,Georgia,6.2,53.601152307,0.05770512717285192
1985-01-01,Georgia,6.3,53.792303535,0.05690643381209659
1985-02-01,Georgia,6.4,53.724686355,0.049142528218329984
1985-03-01,Georgia,6.6,53.050294892,0.030189427263109803
1985-04-01,Georgia,6.7,52.698346243,0.019087210851538083
1985-05-01,Georgia,6.8,53.532758951,0.031532875393362136
1985-06-01,Georgia,6.8,54.677010746,0.051060465935749644
1985-07-01,Georgia,6.7,55.515021937,0.06346266260516953
1985-08-01,Georgia,6.5,56.066257266,0.06516931786167457
1985-09-01,Georgia,6.3,56.380235904,0.06123341640560609
1985-10-01,Georgia,6.1,56.569743418,0.05983678128125369
1985-11-01,Georgia,5.9,56.640251295,0.05943449061293804
1985-12-01,Georgia,5.8,56.799312648,0.05966588782798121
1986-01-01,Georgia,5.8,57.009155459,0.05980134169020945
1986-02-01,Georgia,5.8,57.142094497,0.06360964342199371
1986-03-01,Georgia,5.9,57.341216337,0.08088402625726165
1986-04-01,Georgia,6.0,57.732885019,0.09553504303123628
1986-05-01,Georgia,6.1,58.16772709,0.08658190292868184
1986-06-01,Georgia,6.1,58.564578354,0.07110058788801643
1986-07-01,Georgia,6.1,58.876357394,0.060548214514164034
1986-08-01,Georgia,6.0,58.873094431,0.05006285958563761
1986-09-01,Georgia,6.0,58.906244927,0.044803094249217024
1986-10-01,Georgia,6.0,59.213310006,0.046731104443348714
1986-11-01,Georgia,6.0,59.57510947,0.05181576896109363
1986-12-01,Georgia,5.9,59.871740947,0.05409270210786943
1987-01-01,Georgia,5.9,60.115656912,0.05449127298919798
1987-02-01,Georgia,5.8,60.47453857,0.058318549614504445
1987-03-01,Georgia,5.7,60.96594884,0.06321338706345347
1987-04-01,Georgia,5.5,61.287889945,0.061576775954121254
1987-05-01,Georgia,5.5,61.451152326,0.056447542310183785
1987-06-01,Georgia,5.4,61.839906979,0.05592678573047882
1987-07-01,Georgia,5.5,62.266469857,0.057580200492251876
1987-08-01,Georgia,5.6,62.368660964,0.05937460170531472
1987-09-01,Georgia,5.7,62.310034309,0.05778316689882668
1987-10-01,Georgia,5.8,62.420715851,0.05416697436226747
1987-11-01,Georgia,5.8,62.625302959,0.05119912520741532
1987-12-01,Georgia,5.9,62.743891924,0.04797172976049757
1988-01-01,Georgia,5.9,62.89016859,0.04615289627561525
1988-02-01,Georgia,5.9,63.247336148,0.045850661180166785
1988-03-01,Georgia,5.9,63.739855068,0.04549927099928963
1988-04-01,Georgia,5.9,64.119046922,0.046194394676349226
1988-05-01,Georgia,5.8,64.365380014,0.047423483168223424
1988-06-01,Georgia,5.7,64.54577676,0.043756045459752535
