GEOID,state,income,income.moe,age,age.moe
12017,Florida,38312.0,1593.0,55.4,0.1
12019,Florida,58290.0,2010.0,39.0,0.4
12021,Florida,57452.0,1354.0,48.5,0.1
12023,Florida,41926.0,1816.0,40.4,0.5
12027,Florida,35165.0,2072.0,40.1,1.0
12029,Florida,36292.0,3886.0,46.9,1.0
12031,Florida,47690.0,759.0,36.0,0.1
12033,Florida,45390.0,686.0,37.2,0.3
12035,Florida,47866.0,1719.0,49.6,0.3
12037,Florida,40401.0,3025.0,42.1,0.8
12039,Florida,35567.0,2295.0,40.2,0.6
12041,Florida,40623.0,2651.0,42.0,1.0
12043,Florida,34877.0,3327.0,45.3,0.5
12045,Florida,41788.0,3277.0,43.3,1.1
12047,Florida,35048.0,3762.0,40.5,0.6
12049,Florida,35457.0,2524.0,34.8,0.6
12051,Florida,36771.0,2562.0,33.8,0.4
12053,Florida,40945.0,1067.0,48.7,0.2
12055,Florida,35093.0,1209.0,52.1,0.2
12057,Florida,50579.0,420.0,36.6,0.1
12059,Florida,35020.0,2493.0,42.1,0.7
12061,Florida,45798.0,1567.0,50.7,0.2
12063,Florida,35098.0,2007.0,41.0,0.6
12065,Florida,43355.0,5203.0,45.3,0.3
12067,Florida,35864.0,8175.0,36.4,3.0
12069,Florida,46403.0,1069.0,46.4,0.2
12071,Florida,48537.0,713.0,46.9,0.1
12073,Florida,46745.0,1057.0,30.0,0.1
12075,Florida,35782.0,1566.0,46.6,0.7
12077,Florida,39406.0,3719.0,37.6,2.6
12079,Florida,32164.0,2184.0,41.5,1.0
12081,Florida,49675.0,862.0,46.7,0.2
12083,Florida,39459.0,657.0,48.2,0.2
12085,Florida,51593.0,1685.0,50.7,0.2
12086,Florida,43129.0,454.0,39.0,0.1
12087,Florida,57290.0,1946.0,46.8,0.3
12089,Florida,54116.0,2461.0,44.2,0.3
12091,Florida,55880.0,1223.0,36.8,0.2
12093,Florida,35405.0,1546.0,39.9,0.6
12095,Florida,47943.0,622.0,34.4,0.1
12097,Florida,44254.0,1296.0,35.7,0.1
12099,Florida,53363.0,511.0,44.1,0.2
12101,Florida,45064.0,745.0,44.4,0.1
12103,Florida,45819.0,536.0,47.1,0.1
12105,Florida,43162.0,880.0,40.3,0.2
12107,Florida,31715.0,939.0,44.1,0.3
12109,Florida,66194.0,1602.0,42.7,0.2
12111,Florida,43459.0,1449.0,43.9,0.3
12113,Florida,58923.0,2469.0,39.5,0.3
12115,Florida,51766.0,769.0,54.0,0.2
12117,Florida,57010.0,1158.0,39.1,0.2
12119,Florida,50350.0,2179.0,65.3,0.1
12121,Florida,36289.0,2169.0,41.6,1.1
12123,Florida,36181.0,3352.0,41.2,0.7
12125,Florida,39163.0,2891.0,40.3,1.0
12127,Florida,41117.0,718.0,46.3,0.1
12129,Florida,50340.0,4378.0,40.0,0.5
12131,Florida,44966.0,2763.0,43.6,0.5
12133,Florida,38970.0,2275.0,40.9,0.5
13001,Georgia,37135.0,3073.0,38.6,0.7
